feeder_1,feeder_2,feeder_3
1.0400408205007479,1.0405299859968842,1.0400408205007479
1.0400225468055027,1.0404773644240517,1.0400225468055027
1.040025003255355,1.0404544510080869,1.040025003255355
1.0398045836890302,1.0402213156982463,1.0398045836890302
1.0399963306913373,1.0404545363705422,1.0399963306913373
1.04003841233855,1.0405813514654945,1.04003841233855
1.0400757259098474,1.0403910202849562,1.0400757259098474
1.039891906632114,1.0403687256935128,1.039891906632114
1.0399932591839436,1.040366893760829,1.0399932591839436
1.0399817720552484,1.0402732084772588,1.0399817720552484
1.0399798248707042,1.040431465367218,1.0399798248707042
1.0400215255441039,1.040515908843676,1.0400215255441039
