time,Qd_MVAR
"2016-08-01 00:00:00",0.739986
"2016-08-01 00:05:00",0.733381
"2016-08-01 00:10:00",0.726583
"2016-08-01 00:15:00",0.719446
"2016-08-01 00:20:00",0.7139
"2016-08-01 00:25:00",0.709212
"2016-08-01 00:30:00",0.703799
"2016-08-01 00:35:00",0.697372
"2016-08-01 00:40:00",0.693207
"2016-08-01 00:45:00",0.689624
"2016-08-01 00:50:00",0.684057
"2016-08-01 00:55:00",0.680711
"2016-08-01 01:00:00",0.675774
"2016-08-01 01:05:00",0.670828
"2016-08-01 01:10:00",0.668358
"2016-08-01 01:15:00",0.664017
"2016-08-01 01:20:00",0.659993
"2016-08-01 01:25:00",0.655645
"2016-08-01 01:30:00",0.651925
"2016-08-01 01:35:00",0.646119
"2016-08-01 01:40:00",0.641774
"2016-08-01 01:45:00",0.638057
"2016-08-01 01:50:00",0.631967
"2016-08-01 01:55:00",0.626878
"2016-08-01 02:00:00",0.621473
"2016-08-01 02:05:00",0.616094
"2016-08-01 02:10:00",0.610736
"2016-08-01 02:15:00",0.60341
"2016-08-01 02:20:00",0.598086
"2016-08-01 02:25:00",0.590827
"2016-08-01 02:30:00",0.585885
"2016-08-01 02:35:00",0.581247
"2016-08-01 02:40:00",0.576332
"2016-08-01 02:45:00",0.572014
"2016-08-01 02:50:00",0.567731
"2016-08-01 02:55:00",0.563458
"2016-08-01 03:00:00",0.561699
"2016-08-01 03:05:00",0.559947
"2016-08-01 03:10:00",0.558781
"2016-08-01 03:15:00",0.55951
"2016-08-01 03:20:00",0.560803
"2016-08-01 03:25:00",0.562104
"2016-08-01 03:30:00",0.563963
"2016-08-01 03:35:00",0.563384
"2016-08-01 03:40:00",0.56441
"2016-08-01 03:45:00",0.566874
"2016-08-01 03:50:00",0.56687
"2016-08-01 03:55:00",0.567177
"2016-08-01 04:00:00",0.567462
"2016-08-01 04:05:00",0.565312
"2016-08-01 04:10:00",0.564566
"2016-08-01 04:15:00",0.563554
"2016-08-01 04:20:00",0.560642
"2016-08-01 04:25:00",0.557699
"2016-08-01 04:30:00",0.55341
"2016-08-01 04:35:00",0.54937
"2016-08-01 04:40:00",0.545592
"2016-08-01 04:45:00",0.540104
"2016-08-01 04:50:00",0.534337
"2016-08-01 04:55:00",0.527048
