"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/30/2019 00:05:00","CAPITL",61757,15.96,0.90,0.00
"05/30/2019 00:05:00","CENTRL",61754,15.05,0.00,0.00
"05/30/2019 00:05:00","DUNWOD",61760,16.33,1.28,0.00
"05/30/2019 00:05:00","GENESE",61753,14.42,-0.63,0.00
"05/30/2019 00:05:00","H Q",61844,14.77,-0.29,0.00
"05/30/2019 00:05:00","HUD VL",61758,16.20,1.14,0.00
"05/30/2019 00:05:00","LONGIL",61762,16.60,1.55,0.00
"05/30/2019 00:05:00","MHK VL",61756,15.19,0.14,0.00
"05/30/2019 00:05:00","MILLWD",61759,16.33,1.28,0.00
"05/30/2019 00:05:00","N.Y.C.",61761,16.44,1.38,0.00
"05/30/2019 00:05:00","NORTH",61755,14.68,-0.38,0.00
"05/30/2019 00:05:00","NPX",61845,16.06,1.01,0.00
"05/30/2019 00:05:00","O H",61846,14.09,-0.96,0.00
"05/30/2019 00:05:00","PJM",61847,15.35,0.30,0.00
"05/30/2019 00:05:00","WEST",61752,14.38,-0.68,0.00
"05/30/2019 00:10:00","CAPITL",61757,16.04,0.94,0.00
"05/30/2019 00:10:00","CENTRL",61754,15.09,-0.02,0.00
"05/30/2019 00:10:00","DUNWOD",61760,16.39,1.28,0.00
"05/30/2019 00:10:00","GENESE",61753,14.47,-0.63,0.00
"05/30/2019 00:10:00","H Q",61844,14.82,-0.29,0.00
"05/30/2019 00:10:00","HUD VL",61758,16.25,1.15,0.00
"05/30/2019 00:10:00","LONGIL",61762,16.66,1.56,0.00
"05/30/2019 00:10:00","MHK VL",61756,15.24,0.14,0.00
"05/30/2019 00:10:00","MILLWD",61759,16.39,1.28,0.00
"05/30/2019 00:10:00","N.Y.C.",61761,16.49,1.39,0.00
"05/30/2019 00:10:00","NORTH",61755,14.71,-0.39,0.00
"05/30/2019 00:10:00","NPX",61845,16.13,1.03,0.00
"05/30/2019 00:10:00","O H",61846,14.11,-1.00,0.00
"05/30/2019 00:10:00","PJM",61847,15.38,0.27,0.00
"05/30/2019 00:10:00","WEST",61752,14.40,-0.71,0.00
"05/30/2019 00:15:00","CAPITL",61757,16.06,0.94,0.00
"05/30/2019 00:15:00","CENTRL",61754,15.10,-0.02,0.00
"05/30/2019 00:15:00","DUNWOD",61760,16.39,1.27,0.00
"05/30/2019 00:15:00","GENESE",61753,14.47,-0.65,0.00
"05/30/2019 00:15:00","H Q",61844,14.83,-0.29,0.00
"05/30/2019 00:15:00","HUD VL",61758,16.27,1.15,0.00
"05/30/2019 00:15:00","LONGIL",61762,16.66,1.54,0.00
"05/30/2019 00:15:00","MHK VL",61756,15.24,0.12,0.00
"05/30/2019 00:15:00","MILLWD",61759,16.39,1.27,0.00
"05/30/2019 00:15:00","N.Y.C.",61761,16.49,1.38,0.00
"05/30/2019 00:15:00","NORTH",61755,14.74,-0.38,0.00
"05/30/2019 00:15:00","NPX",61845,16.15,1.03,0.00
"05/30/2019 00:15:00","O H",61846,14.12,-1.00,0.00
"05/30/2019 00:15:00","PJM",61847,15.39,0.27,0.00
"05/30/2019 00:15:00","WEST",61752,14.39,-0.73,0.00
"05/30/2019 00:20:00","CAPITL",61757,15.96,0.95,0.00
"05/30/2019 00:20:00","CENTRL",61754,14.95,-0.06,0.00
"05/30/2019 00:20:00","DUNWOD",61760,16.27,1.26,0.00
"05/30/2019 00:20:00","GENESE",61753,14.33,-0.68,0.00
"05/30/2019 00:20:00","H Q",61844,14.74,-0.27,0.00
"05/30/2019 00:20:00","HUD VL",61758,16.15,1.14,0.00
"05/30/2019 00:20:00","LONGIL",61762,16.54,1.53,0.00
"05/30/2019 00:20:00","MHK VL",61756,15.12,0.11,0.00
