timestamp,bnk139_Pf_1,bnk139_Pf_2,bnk139_Pf_3,bnk139_Pf_4,bnk239_Pf_5,bnk239_Pf_6,bnk239_Pf_7,bnk239_Pf_8,bnk276_Pf_9,bnk276_Pf_10,bnk276_Pf_11,bnk276_Pf_12
1.0,1.7441041515834186,1.641694146863055,2.445299173546643,2.537259174356673,2.566519175264788,3.637644169724085,2.2592891674545004,3.093199179210493,2.6501191742083505,1.3919391327820758,2.1652391649486993,1.1494991604983298
2.0,1.7232045388782038,1.62392953653548,2.424399546234413,2.5153145462424993,2.535169547532535,3.631374545328009,2.2373445502558993,3.0670745493972005,2.6145895405780872,1.3846245299702373,2.1422495432551605,1.1359145374388075
3.0,1.7033495322933814,1.6072095304853622,2.4034995390019196,2.4944145387749446,2.505909541090302,3.6251045360507828,2.2174895416979234,3.041994540489197,2.582194533066817,1.3783545206659369,2.120304533024357,1.1223295285775923
4.0,1.3782727174134632,1.3030328958600212,1.9502665762749454,2.025506534662185,2.028071709572195,2.9617321435551127,1.7980766446848602,2.4701064981323033,2.087921667050249,1.1226288768447572,1.717707253512957,0.9080244181840483
5.0,1.363732212433215,1.2910571955443277,1.9340173120579927,2.0101123199325643,2.0058374063080366,2.958307462044817,1.7826822233430042,2.4521473768479103,2.064832436971247,1.1174925242364628,1.7006023968046065,0.8986129679732502
6.0,1.3508999169017064,1.2799349164384515,1.9194749182489366,1.9955699183996174,1.9861649209113157,2.954024923110196,1.768994920762352,2.4350399214182405,2.042594917669118,1.1132099155531774,1.6843499175288743,0.8900549157315522
7.0,1.3380749260858582,1.2688199257600408,1.9049399278335386,1.982744928014316,1.9664999307244249,2.9506049332206192,1.7553149308083842,2.4196499314595967,2.0229299283728124,1.1080799259201688,1.668959928222094,0.8815049260548562
8.0,1.3269599342179492,1.2594149338170881,1.890404936033946,1.969919936190199,1.948544937368779,2.9471849398174816,1.7424899374575356,2.405114938067263,2.00411993295077,1.1038049302973145,1.6535699327945361,0.8738099304031878
9.0,1.3166999600187668,1.2500099594411997,1.8775799620217732,1.9579499622076342,1.9305899635407897,2.943764966080679,1.730519963624221,2.3914349641750072,1.9870199587341213,1.0995299558586642,1.6381799588922943,0.8669699560250985
10.0,1.3064403045859452,1.2414603028824829,1.8647553119236786,1.9468353123842592,1.9143453136636965,2.9412003192358585,1.7194053142011967,2.378610314601873,1.971630307594697,1.0961102989640843,1.6245003112008358,0.8601303009776413
11.0,1.523036416278091,1.4410702218445335,2.157317220697802,2.2426468665516412,2.2426068863904045,3.2909586454545963,1.9899446473698672,2.7342559646941025,2.306086854926282,1.2446451370469545,1.901268650495393,1.0035930686933618
12.0,1.2884853692164393,1.2260703665552648,1.8416703785555546,1.9254603790546572,1.8835653848171525,2.934360389832494,1.698030384111799,2.354670385672891,1.9434153748264378,1.0884153571923063,1.5971403737841707,0.847305360046121
