x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288
1.4032005017273803,1.4294530346171246,1.4294973184988504,1.43548313792377,1.4367360725178486,1.4387703789777067,1.4394062695343364,1.4434850302313156,1.4443884042092199,1.4466750974613605,1.4490182645713818,1.4479996934628734,1.4491435934587646,1.4544929047601944,1.4539499673328957,1.4555236238783762,1.452207595112664,1.454830764746541,1.453888485034678,1.4541402416255598,1.4566823597753185,1.457202769304864,1.460883316765472,1.456904344435949,1.4612915533282855,1.457435727634326,1.4602442748979163,1.4612893628303318,1.4616021259685645,1.4634092987685077,1.4652790234812252,1.4640276587490462,1.4656860878496392,1.4696564880751624,1.460037413761588,1.4588794302669645,1.4634353547927714,1.4602182235192922,1.4611343702781403,1.4619641318989727,1.457466368548956,1.4607807538877693,1.4609683879659578,1.460986489184026,1.4563487989067914,1.4609274540735186,1.4579796142709536,1.4532353653874588,1.4539063775068277,1.4504240692463648,1.4546596197220882,1.4466814460191928,1.4473014726410656,1.4443233181720343,1.4441601526164694,1.4422695948328887,1.4437114831677451,1.439355134190162,1.433712366778169,1.4403361066322296,1.4330991793438213,1.4310882955540363,1.4241163109638408,1.426188047481297,1.4246233359290705,1.4186459058539107,1.4361290595002116,1.4426770979996506,1.4720525925527088,1.455592602578351,1.5328234771831446,1.5454380305841204,1.5258335696128609,1.4582125583760488,1.5133962587038077,1.7153648335703413,1.6450373987825808,1.6506867591239471,1.8319437856719902,1.8330732224940298,1.868962536217333,1.8780047342797364,2.155922614550732,2.012895286793961,1.9448701534131208,2.060690153599411,2.1254255721934068,2.028265077351163,2.147379939169663,2.0220986839713966,2.03830326272468,2.011931101944441,1.9921128594984452,1.9013565462925097,2.0554209406908903,2.0930192662253377,2.009774289320549,2.262131078599076,2.2230807537562605,2.470057007920374,2.7042374288032427,2.4653180976603446,2.3810943960210977,3.1346157884519594,2.511259878288663,2.573263421779155,2.580732464412421,2.9254287466058577,2.8241614706598663,2.345034372600735,2.532676973751375,2.536392079903259,2.418918290179071,2.7299007777171833,2.554358737894517,2.462726664310446,2.884232154189226,3.2165419628813163,3.4339438748664826,2.878103639978937,3.852871445072851,2.572720604383622,2.842119440139123,3.436987602392729,2.8263413465010228,3.0923766308974012,2.940129952128527,2.722858713815081,2.7690782409190327,3.3738709093319983,3.350837592494014,2.7130199476519548,2.6849530847355063,1.9556969592443432,2.041613664810437,2.8729137449243054,3.9280514370704305,2.570687571045293,2.0713084843133123,2.136003895173822,2.0866548569538903,2.2185668655478015,2.9152172526700153,2.819217249729499,2.6683157485970352,2.329931787662036,2.2510276605697452,2.097530427602443,2.166609684246838,3.7270298625905176,3.516950777327529,2.2312311271343805,2.218588350341889,2.2668615644923413,2.560812970721323,3.293440738880796,4.050183410550139,4.256160257699566,4.683540703777613,3.7898441604771818,3.7531106312953395,2.8276022666962275,2.6261981978511946,2.2662388055679,3.473595453723558,3.872358641790644,3.008474439526667,2.966834080286999,2.0534825231130385,1.972252316010312,2.4227314549996817,2.244000455946585,2.3828654062161365,2.774325080544564,3.2364518436542244,3.8375739042919053,2.9967817382148296,2.737622982512235,2.4809604710037005,2.7671357744207623,2.882807560198953,3.5028387962568943,3.183312751083865,3.303471816981652,3.0546902403480862,3.132694658067458,2.111114083553739,2.7641879697187726,2.575394230522241,2.2419748733831013,2.3341055585383654,2.324112623004937,2.3828624008408923,2.2770080369162784,2.628273931461709,2.5574400291457646,2.4829543510237384,1.8822789832380307,1.5798351295964366,1.6153649596993365,1.6673456387779033,1.5842637798479806,1.555566412761825,1.5155047005046818,1.4604105256729147,1.4000718240444272,1.4520450476363813,1.3530787419724097,1.4015427827019278,1.3674464780313393,1.4884508627082822,1.3559373513824406,1.3020130996970256,1.291525543092002,1.2866725879564693,1.266834911790123,1.368385629342389,1.304911807445913,1.3277480426908514,1.2721059205171463,1.2608515799420206,1.2372567070866172,1.2394063194147313,1.250836329580388,1.2564075763754632,1.2540868477272835,1.2614743811036435,1.2584031933820858,1.2621219369303394,1.2648029213753116,1.2642164078266296,1.265429326849301,1.267219957507769,1.2767069174827337,1.2716872784450712,1.2842208480888289,1.2775911694498852,1.281572964753764,1.279688950549763,1.2865981752764106,1.295620566305148,1.2877817482210976,1.3001077689849951,1.2972855726366646,1.2991422288118608,1.3025509934481647,1.3038963294910297,1.31007674180275,1.3066129944227372,1.3116254032009238,1.3145686712627687,1.290988979731389,1.287738907150066,1.2887344480804335,1.295987366983337,1.2976713196491454,1.2996040906330641,1.307783650033886,1.3118145324252908,1.3165092027719076,1.3210532627893246,1.3240075056059541,1.3254385360301832,1.332899781621783,1.3371840072476815,1.3357246805822247,1.3457616168905757,1.3541995424548423,1.3517868552659658,1.3558991446649964,1.3604649336204706,1.3647624331037398,1.3718622966712748,1.3764854780121565,1.3833116888711365,1.384131666777704,1.3923337881486106,1.4284272743797517,1.4375074439006692,1.4416914942930779,1.4443036969131047,1.4472062964706798,1.4526996866698205,1.4616138460043617,1.4627787224135593,1.4672613251674353,1.4673045738262724,1.4775721096017622
-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023932891834538696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
0.6812485630937932,0.7152219315981851,0.7152213201783686,0.7152021918959408,0.7152061589601101,0.7151928964623111,0.7151987816135066,0.7151781057384091,0.7151989262710329,0.7151853292418205,0.7151763602354255,0.7151813271025105,0.7151739738901146,0.715172743819166,0.7151664532354411,0.715148345246958,0.7151498345384488,0.7151602549105001,0.715151484957826,0.7151389564769961,0.7151401471684244,0.7151544983672047,0.715145184988662,0.7151457264105198,0.7151473235900875,0.7151315451326277,0.715133479808147,0.7151326710181475,0.7151230430257451,0.7151288653593788,0.7151147837191408,0.7151136032527449,0.7151256574669265,0.7151270454336042,0.7151266227264219,0.7151350283060574,0.7151198822000819,0.7151022790118116,0.7151377173423193,0.7151244499341034,0.7151209543197447,0.7151160278698436,0.715129077244004,0.7151167084561447,0.7151454716456531,0.7151289866391235,0.7151282727135463,0.7151372235618968,0.7151416769650883,0.7151329223652022,0.7151380899760115,0.7151289930633926,0.7151426988128781,0.7151454225616952,0.7151480436968043,0.715161834758639,0.7151541822018475,0.7151480978072083,0.7151804031728812,0.7151639428499103,0.7151722378609039,0.7151773992487345,0.7151843176212386,0.7151990486505403,0.713990342798389,0.7166083060260703,0.7165085279970987,0.7164363693838834,0.7164356821176491,0.7167688631184171,0.7167840089737934,0.7182416044896968,0.7167976240872578,0.7171782224777585,0.7172910379475591,0.7162827771429431,0.7163619896675467,0.7157211850929281,0.7180034333830778,0.7179078759452934,0.7176792014856964,0.7169366828996592,0.7160390744525902,0.7165089702539283,0.716692758086451,0.7163764806942228,0.7160544594259809,0.7136907506131218,0.7074028553473105,0.7152539374945052,0.7162337574402614,0.7154725859327714,0.7163401563612246,0.7165034899753806,0.7160656733759218,0.7160833579422864,0.7163397950935662,0.7157244537696941,0.7154246181362983,0.7151446902712373,0.7145529920462877,0.7148811356264536,0.715519118238303,0.7137471054111304,0.7153483832341462,0.7147886890168238,0.7152119209250763,0.7155577928565005,0.7165150163769525,0.7173796129244772,0.7172943746566378,0.7170201361548331,0.7173228947389607,0.7166867323944268,0.716705070636355,0.7171322626910086,0.7161594179282075,0.7150899942556738,0.714940556972097,0.7160141440201585,0.7140287350264481,0.7165587375705252,0.7167549519401561,0.7146716999926062,0.716179177398659,0.7153558544713285,0.715721385828931,0.7165081085976539,0.7172098054678555,0.7149815519902623,0.7142092923995433,0.7166846131537941,0.7169108866825322,0.718614225173311,0.7184842276249815,0.715435808245598,0.7138218169991783,0.716719433159119,0.7182845249709543,0.7182995507711518,0.7184430097395322,0.7180173872765981,0.7158301946256399,0.7140767453633784,0.7161697329632637,0.7170135323779251,0.7177000815790834,0.7178955260174162,0.7178850892440259,0.7149306172554747,0.713097821275489,0.716315649097771,0.7175409764701307,0.7176778910338963,0.716322082534682,0.7150595647701932,0.7129426165540348,0.7126408521704375,0.713211376902567,0.7115439315530372,0.7124221353169723,0.7163051493668182,0.7164393008047847,0.717364239078788,0.7138190432753526,0.7138372116539482,0.7161684707484566,0.7159083509910996,0.7163612350525288,0.7174911287770341,0.716040526128959,0.7176831338515237,0.7169091055626408,0.714704280908095,0.7130781104899652,0.7119548498789388,0.7143945227829915,0.7161942644952919,0.7166498506125031,0.7162232414678409,0.7164067144976568,0.7152218744280593,0.715481715881531,0.7143514653567041,0.7149282372797343,0.7156866090947234,0.7175504486356504,0.7162615982068156,0.7148905709443921,0.7176788519469778,0.7154658743537576,0.717613567871817,0.7174500282248873,0.717276025518626,0.7153463827051427,0.715352555759859,0.7155467576599448,0.7171762026826897,0.7175580953328301,0.7172451952682554,0.7192751161357006,0.7195119088078562,0.7194632894549546,0.7195143089678888,0.719319081718411,0.7194559104774706,0.71946358251421,0.719564763881982,0.7195047722707079,0.7196119509036699,0.7192749124506488,0.7194999637022952,0.7196705895440338,0.718459953762822,0.7197327816111189,0.7197605515561796,0.7195548362173535,0.7186808472289052,0.718092067498545,0.7173227969877392,0.7182557442573546,0.7175403289929432,0.7182181011988116,0.7072918936054778,0.7072787402378836,0.7072735722496686,0.7072782714471857,0.7072879361107156,0.7072665641074162,0.7072705533049454,0.7072736430586102,0.7072588385139902,0.7072638238608682,0.7072528664856185,0.7072491651972871,0.7072502502909362,0.7072334038500773,0.7072318480906454,0.7072491720185093,0.7072362913518158,0.7072286503650853,0.7072160422326823,0.7072204407458972,0.7072192297141798,0.7072131788265426,0.7072104691014311,0.7071942340858279,0.7071907892995952,0.7071797187089469,0.7071693371236566,0.7071595616540723,0.7146113104398287,0.7156198570412691,0.7156210574520835,0.7156141223036513,0.7156082964461404,0.7155895515444833,0.7155884798267299,0.7155639330232714,0.7155506087005734,0.7155429649544222,0.7155348357455938,0.7155271899389901,0.7155086906014774,0.715494336262128,0.7154918713168748,0.7154744219754291,0.7154583875398435,0.7154517930450373,0.7154223507085403,0.7154450097354125,0.7154275148564877,0.7154019348496569,0.7153898778412167,0.7153742751707053,0.7153668316631837,0.7153488307704726,0.7068533083147219,0.7068513251247989,0.7068366004247258,0.7068227554256906,0.7068064994498191,0.7067976560916448,0.7067802432782189,0.7067669442365445,0.7067582565853727,0.7067585556359115,0.7067445839962193
