pd_rt,pd_da
3.5585167756763942,3.5858447052935887
3.552868716802826,3.5858447052935887
3.5184409163847796,3.5858447052935887
3.497136992791238,3.5858447052935887
3.484478100125971,3.5858447052935887
3.457735144001059,3.5858447052935887
3.4581056694584125,3.5858447052935887
3.4270562642406137,3.5858447052935887
3.426125304700526,3.5858447052935887
3.4136663868769728,3.5858447052935887
3.393432514081057,3.5858447052935887
3.378016480163408,3.378016480163408
3.3823461350125292,3.378016480163408
3.370436495156143,3.378016480163408
3.3622284429065856,3.378016480163408
3.349172317964614,3.378016480163408
3.339106832926997,3.378016480163408
3.3356113811018084,3.378016480163408
3.339916006685421,3.378016480163408
3.3094157442461043,3.378016480163408
3.3215423790369183,3.378016480163408
3.310440477563958,3.378016480163408
3.311495380582795,3.378016480163408
3.306872489585664,3.306872489585664
3.2881080031799272,3.306872489585664
3.28546629948999,3.306872489585664
3.2823899714226887,3.306872489585664
3.2799276028624402,3.306872489585664
3.262343459636496,3.306872489585664
3.275024337684653,3.306872489585664
3.2643125606572854,3.306872489585664
3.248765993402986,3.306872489585664
3.263858096301764,3.306872489585664
3.258928397515728,3.306872489585664
3.2573732439794063,3.306872489585664
3.269926837093434,3.269926837093434
3.2488000806012933,3.269926837093434
3.247144723666248,3.269926837093434
3.263321128263018,3.269926837093434
3.2615299956514914,3.269926837093434
3.2615563215510686,3.269926837093434
3.2693508129641957,3.269926837093434
3.279630156474105,3.269926837093434
3.266745818022924,3.269926837093434
3.298918555640268,3.269926837093434
3.299250367651068,3.269926837093434
3.2903817489819294,3.269926837093434
3.2896401264898967,3.2896401264898967
3.3089553585618674,3.2896401264898967
3.3180391574977426,3.2896401264898967
3.318107600320896,3.2896401264898967
3.316213304813834,3.2896401264898967
3.327392883574954,3.2896401264898967
3.3446159289936555,3.2896401264898967
3.352752683486955,3.2896401264898967
3.357742227345424,3.2896401264898967
3.3719470838585024,3.2896401264898967
3.374855399270933,3.2896401264898967
3.408931861414866,3.2896401264898967
3.417781391437454,3.417781391437454
3.4246229275171136,3.417781391437454
3.4369558613875957,3.417781391437454
3.4371335262766967,3.417781391437454
3.4739239005094276,3.417781391437454
3.486709231635414,3.417781391437454
3.5048407259668917,3.417781391437454
3.5132003477203853,3.417781391437454
3.537789900039749,3.417781391437454
3.5515709356899574,3.417781391437454
3.5517463682429415,3.417781391437454
3.579550735143331,3.417781391437454
3.5905238643737616,3.5905238643737616
3.6247313716005896,3.5905238643737616
3.650204728879455,3.5905238643737616
