P_rsrv_feedback
41.658
0.0
0.0
0.0
3.553
3.691
0.115
9.829
0.011
0.002
0.008
19.847
5.884
3.469
2.792
2.965
3.399
3.266
4.363
0.003
0.003
0.007
0.011
19.891
4.723
2.108
1.536
3.908
2.596
2.448
0.007
4.398
0.01
9.655
0.007
6.223
0.279
0.025
4.899
1.926
0.043
0.023
0.008
5.823
0.004
1.445
0.004
6.821
5.411
3.203
0.344
0.895
0.043
0.051
0.064
0.018
0.036
10.116
0.966
0.007
0.001
0.122
0.005
0.003
0.0
0.003
0.004
0.003
0.007
31.553
0.271
0.0
0.0
0.0
0.0
0.0
0.0
0.0
26.054
3.748
4.045
6.654
2.513
2.395
2.706
2.93
0.001
6.345
3.704
4.01
4.346
2.534
2.433
4.806
4.649
4.651
0.0
0.0
0.0
0.003
0.002
0.0
0.001
0.0
0.003
17.534
0.003
0.001
0.0
0.0
0.0
0.001
0.001
0.0
0.001
0.0
0.0
23.024
0.0
3.981
0.0
6.363
4.134
1.892
4.678
2.444
2.793
3.025
0.0
6.588
4.392
4.62
3.53
2.618
4.816
4.698
0.004
6.99
2.592
0.0
0.0
0.0
0.001
15.924
2.348
2.257
2.289
4.469
4.278
0.001
8.676
2.173
0.0
0.002
0.0
14.099
2.314
2.296
2.305
2.314
0.002
0.201
7.978
4.055
0.0
8.448
0.0
7.359
4.52
2.047
2.205
2.205
4.64
4.897
2.702
2.592
0.002
0.001
0.0
15.276
4.689
4.702
4.919
7.627
0.002
0.0
0.001
0.0
0.0
0.001
0.0
30.295
0.0
0.001
0.001
0.003
0.001
0.002
0.0
0.0
0.0
26.423
0.021
0.001
0.003
12.032
0.004
0.001
0.0
0.0
11.174
0.0
0.0
0.0
0.002
10.868
0.0
5.5
0.0
0.0
0.001
0.0
0.0
0.0
0.0
0.0
0.001
9.468
0.011
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.054
2.594
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.018
2.679
0.003
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.02
0.566
0.0
0.027
0.0
0.0
0.002
0.0
0.0
0.0
0.0
0.0
0.003
1.54
0.025
0.0
0.0
0.003
1.11
0.0
0.0
0.0
0.0
0.0
2.566
4.283
