id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
65,21,UNIDENTIFIED: ROCKSEWR,LOAD,0.82,0.61,1,0.00,0.00,,1.00,0.00,21
66,22,blooming_grove_69kV_1,LOAD,2.89,0.82,1,0.00,0.00,,1.00,0.00,22
67,22,blooming_grove_69kV_2,LOAD,2.89,0.82,1,0.00,0.00,,1.00,0.00,22
68,22,blooming_grove_69kV_3,LOAD,2.89,0.82,1,0.00,0.00,,1.00,0.00,22
69,22,blooming_grove_69kV_4,LOAD,2.89,0.82,1,0.00,0.00,,1.00,0.00,22
70,23,blue_lake_69kV_1,LOAD,0.04,0.02,1,0.00,0.00,,1.00,0.00,23
71,23,blue_lake_69kV_2,LOAD,0.04,0.02,1,0.00,0.00,,1.00,0.00,23
72,23,blue_lake_69kV_3,LOAD,0.04,0.02,1,0.00,0.00,,1.00,0.00,23
73,23,blue_lake_69kV_4,LOAD,0.04,0.02,1,0.00,0.00,,1.00,0.00,23
74,25,UNIDENTIFIED: CEDAR,LOAD,2.04,1.43,1,0.00,0.00,,1.00,0.00,25
75,27,harriman_69kV_1,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
76,27,harriman_69kV_2,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
77,27,harriman_69kV_3,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
78,27,harriman_69kV_4,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
79,27,harriman_69kV_5,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
80,27,harriman_69kV_6,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
81,27,harriman_69kV_7,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
82,27,harriman_69kV_8,LOAD,3.16,0.84,1,0.00,0.00,,1.00,0.00,27
83,28,hillburn_69kV_1,LOAD,8.49,1.03,1,0.00,0.00,,1.00,0.00,28
84,28,hillburn_69kV_2,LOAD,15.72,-9.06,1,0.00,0.00,,1.00,0.00,28
85,29,hunt_69kV_1,LOAD,3.01,1.06,1,0.00,0.00,,1.00,0.00,29
86,29,hunt_69kV_2,LOAD,3.01,1.06,1,0.00,0.00,,1.00,0.00,29
87,29,hunt_69kV_3,LOAD,3.01,1.06,1,0.00,0.00,,1.00,0.00,29
88,30,UNIDENTIFIED: LAKE RD,LOAD,4.57,1.31,1,0.00,0.00,,1.00,0.00,30
89,31,UNIDENTIFIED: LOVET69,LOAD,0.72,0.12,1,0.00,0.00,,1.00,0.00,31
90,32,mongaup_69kV_1,LOAD,0.41,0.19,1,0.00,0.00,,1.00,0.00,32
91,32,mongaup_69kV_2,LOAD,0.41,0.19,1,0.00,0.00,,1.00,0.00,32
92,33,monroe_69kV_1,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
93,33,monroe_69kV_2,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
94,33,monroe_69kV_3,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
95,33,monroe_69kV_4,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
96,33,monroe_69kV_5,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
97,33,monroe_69kV_6,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
98,33,monroe_69kV_7,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
99,33,monroe_69kV_8,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
100,33,monroe_69kV_9,LOAD,3.01,0.35,1,0.00,0.00,,1.00,0.00,33
101,34,nanuet_69kV_1,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
102,34,nanuet_69kV_2,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
103,34,nanuet_69kV_3,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
104,34,nanuet_69kV_4,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
105,34,nanuet_69kV_5,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
106,34,nanuet_69kV_6,LOAD,3.47,0.72,1,0.00,0.00,,1.00,0.00,34
107,35,orangeburg_69kV_1,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
108,35,orangeburg_69kV_2,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
109,35,orangeburg_69kV_3,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
110,35,orangeburg_69kV_4,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
111,35,orangeburg_69kV_5,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
112,35,orangeburg_69kV_6,LOAD,4.05,1.14,1,0.00,0.00,,1.00,0.00,35
113,37,ringwood_69kV_1,LOAD,3.88,1.03,1,0.00,0.00,,1.00,0.00,37
114,37,ringwood_69kV_2,LOAD,3.88,1.03,1,0.00,0.00,,1.00,0.00,37
115,39,south_goshen_69kV_1,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,39
116,39,south_goshen_69kV_2,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,39
117,39,south_goshen_69kV_3,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,39
118,39,south_goshen_69kV_4,LOAD,4.67,1.12,1,0.00,0.00,,1.00,0.00,39
119,40,shoemaker_69kV_1,LOAD,3.23,0.63,1,0.00,0.00,,1.00,0.00,40
120,40,shoemaker_69kV_2,LOAD,3.23,0.63,1,0.00,0.00,,1.00,0.00,40
121,40,shoemaker_69kV_3,LOAD,3.23,0.63,1,0.00,0.00,,1.00,0.00,40
122,40,shoemaker_69kV_4,LOAD,3.23,0.63,1,0.00,0.00,,1.00,0.00,40
123,40,shoemaker_69kV_5,LOAD,3.23,0.63,1,0.00,0.00,,1.00,0.00,40
124,41,sloatsburg_69kV_1,LOAD,2.24,0.56,1,0.00,0.00,,1.00,0.00,41
125,41,sloatsburg_69kV_2,LOAD,2.24,0.56,1,0.00,0.00,,1.00,0.00,41
126,41,sloatsburg_69kV_3,LOAD,2.24,0.56,1,0.00,0.00,,1.00,0.00,41
127,42,sparkill_69kV_1,LOAD,15.59,2.52,1,0.00,0.00,,1.00,0.00,42
128,42,sparkill_69kV_2,LOAD,4.45,-4.87,1,0.00,0.00,,1.00,0.00,42
