Time Stamp,Time Zone,Name,PTID,10 Min Spinning Reserve ($/MWHr),10 Min Non-Synchronous Reserve ($/MWHr),30 Min Operating Reserve ($/MWHr),NYCA Regulation Capacity ($/MWHr),NYCA Regulation Movement ($/MW)
05/29/2019 00:05:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:05:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:10:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:15:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:20:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:25:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:30:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:35:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:40:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:45:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:50:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 00:55:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:00:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:05:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:10:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:15:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:20:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:25:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:30:00,EDT,WEST,61752,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,CAPITL,61757,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,CENTRL,61754,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,DUNWOD,61760,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,GENESE,61753,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,HUD VL,61758,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,LONGIL,61762,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,MHK VL,61756,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,MILLWD,61759,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,N.Y.C.,61761,0.00,0.00,0.00,3.00,0.30
05/29/2019 01:35:00,EDT,NORTH,61755,0.00,0.00,0.00,3.00,0.30
