Time Stamp,Time Zone,Name,PTID,10 Min Spinning Reserve ($/MWHr),10 Min Non-Synchronous Reserve ($/MWHr),30 Min Operating Reserve ($/MWHr),NYCA Regulation Capacity ($/MWHr)
05/29/2019 00:00,EDT,CAPITL,61757,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,CENTRL,61754,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,DUNWOD,61760,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,GENESE,61753,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,HUD VL,61758,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,LONGIL,61762,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,MHK VL,61756,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,MILLWD,61759,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,N.Y.C.,61761,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,NORTH,61755,3.00,3.00,3.00,3.00
05/29/2019 00:00,EDT,WEST,61752,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,CAPITL,61757,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,CENTRL,61754,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,DUNWOD,61760,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,GENESE,61753,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,HUD VL,61758,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,LONGIL,61762,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,MHK VL,61756,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,MILLWD,61759,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,N.Y.C.,61761,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,NORTH,61755,3.00,3.00,3.00,3.00
05/29/2019 01:00,EDT,WEST,61752,3.00,3.00,3.00,3.00
05/29/2019 02:00,EDT,CAPITL,61757,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,CENTRL,61754,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,DUNWOD,61760,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,GENESE,61753,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,HUD VL,61758,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,LONGIL,61762,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,MHK VL,61756,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,MILLWD,61759,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,N.Y.C.,61761,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,NORTH,61755,2.75,2.75,2.75,3.00
05/29/2019 02:00,EDT,WEST,61752,2.75,2.75,2.75,3.00
05/29/2019 03:00,EDT,CAPITL,61757,2.75,2.75,2.75,7.07
05/29/2019 03:00,EDT,CENTRL,61754,2.75,2.75,2.75,7.07
05/29/2019 03:00,EDT,DUNWOD,61760,2.75,2.75,2.75,7.07
05/29/2019 03:00,EDT,GENESE,61753,2.75,2.75,2.75,7.07
05/29/2019 03:00,EDT,HUD VL,61758,2.75,2.75,2.75,7.07
