GML,Layer3,Layer1
1.0227399863055424,1.0227399863055686,1.0227399863055686
1.038041360805039,1.0380413608050676,1.0380413608050676
1.0378723025941834,1.0378723025942118,1.0378723025942118
1.032067877751006,1.032067877751026,1.032067877751026
0.9931141401731612,0.9931141401731924,0.9931141401731924
1.0184445861767972,1.0184445861768239,1.0184445861768239
0.986573283648498,0.9865732836486062,0.9865732836486062
0.9885207865252215,0.9885207865252676,0.9885207865252676
0.9878793146721558,0.9878793146722397,0.9878793146722397
0.9935939058719702,0.9935939058720082,0.9935939058720082
0.971565749794556,0.9715657497946103,0.9715657497946103
0.980358301390058,0.9803583013901177,0.9803583013901177
0.9875657635368219,0.9875657635369176,0.9875657635369176
0.9916842833069232,0.9916842833069687,0.9916842833069687
1.0011726959217284,1.0011726959217662,1.0011726959217662
1.0023555115902039,1.0023555115902425,1.0023555115902425
0.9913257716625186,0.991325771662548,0.991325771662548
0.9935004326425975,0.9935004326426429,0.9935004326426429
0.9911208034136012,0.991120803413667,0.991120803413667
0.9864870078702553,0.9864870078703013,0.9864870078703013
0.9777391827709557,0.9777391827710065,0.9777391827710065
0.9805093517009967,0.9805093517010112,0.9805093517010112
0.9864939655428557,0.9864939655428742,0.9864939655428742
0.9919693930643847,0.9919693930647091,0.9919693930647091
0.9760576402986983,0.9760576402987561,0.9760576402987561
1.0219267156853316,1.021926715685331,1.021926715685331
0.9854719108153218,0.9854719108153345,0.9854719108153345
0.995,0.995,0.995
0.9866209802664302,0.9866209802664536,0.9866209802664536
0.986587635914973,0.9865876359149928,0.9865876359149928
0.9760205039258817,0.9760205039259389,0.9760205039259389
1.0398,1.0398,1.0398
0.9854728108614342,0.9854728108614487,0.9854728108614487
0.9941407092445758,0.9941407092451203,0.9941407092451203
0.9780305232625891,0.9780305232626396,0.9780305232626396
0.996994961282667,0.9969949612833583,0.9969949612833583
0.986515526267851,0.9865155262678659,0.9865155262678659
1.0459,1.0459,1.0459
1.005768690015408,1.0057686900154146,1.0057686900154146
1.025,1.025,1.025
0.9920440221284498,0.9920440221284533,0.9920440221284533
0.977554954055108,0.9775549540551587,0.9775549540551587
0.988830728725399,0.9888307287254245,0.9888307287254245
0.9882839373511235,0.9882839373511406,0.9882839373511406
1.05,1.05,1.05
0.9895188124071914,0.9895188124072564,0.9895188124072564
0.9819404993528281,0.9819404993528779,0.9819404993528779
0.9860228501364258,0.9860228501364466,0.9860228501364466
0.9835484925848303,0.9835484925848452,0.9835484925848452
1.0106,1.0106,1.0106
1.0187091922012985,1.0187091922013165,1.0187091922013165
1.0,1.0,1.0
1.0,1.0,1.0
1.018214588388119,1.018214588388146,1.018214588388146
0.9969926288903953,0.9969926288910868,0.9969926288910868
0.9759456766078751,0.9759456766079329,0.9759456766079329
1.0182145883881188,1.018214588388146,1.018214588388146
1.0250000000000001,1.025,1.025
0.9897762108693311,0.9897762108694119,0.9897762108694119
0.9868695331036821,0.9868695331037283,0.9868695331037283
0.9772761679477037,0.9772761679478131,0.9772761679478131
1.0037964542566822,1.0037964542566906,1.0037964542566906
0.9905124646097012,0.990512464609736,0.990512464609736
1.033946642329081,1.0339466423291055,1.0339466423291055
1.022949177978471,1.0229491779784963,1.0229491779784963
1.025137333166744,1.0251373331667701,1.0251373331667701
1.030008736694809,1.030008736694837,1.030008736694837
1.0344925879647109,1.0344925879647395,1.0344925879647395
1.0354038668811965,1.0354038668812229,1.0354038668812229
1.0328,1.0328,1.0328
1.003806535652219,1.0038065356523562,1.0038065356523562
1.0459,1.0459,1.0459
0.9966861650719487,0.9966861650719483,0.9966861650719483
0.9854719108153218,0.9854719108153345,0.9854719108153345
0.9854719108153217,0.9854719108153345,0.9854719108153345
0.9912600949720082,0.9912600949720456,0.9912600949720456
1.018214588388119,1.018214588388146,1.018214588388146
1.0250000000000001,1.025,1.025
1.036336371212145,1.0363363712121751,1.0363363712121751
