timestamp,bnk139_Pf_1,bnk139_Pf_2,bnk139_Pf_3,bnk139_Pf_4,bnk239_Pf_5,bnk239_Pf_6,bnk239_Pf_7,bnk239_Pf_8,bnk276_Pf_9,bnk276_Pf_10,bnk276_Pf_11,bnk276_Pf_12
75,0.5146461355029461,0.3227175006359855,0.40124972532159187,0.24668572013988957,0.3491940226197611,0.5804405183442353,0.3181884045666104,0.5027136987333214,0.21439264365277982,0.24429924893808513,0.38779911944758816,0.33938957806868
76,0.815006559209412,0.5110635476412513,0.6354291530791066,0.39065770848707054,0.5529924335168663,0.9192001980528904,0.5038911572370701,0.7961100523404897,0.33900515723499836,0.38629452898942196,0.6132015503145691,0.5366546879445637
77,1.8736618194829313,1.1749111043643368,1.4608217929750227,0.8981037325502598,1.2713036446584958,2.113198103857616,1.1584221155299699,1.8302196372798316,0.7784467926580936,0.8870358774652283,1.4080752752809937,1.2323031425323905
78,1.67919863939666,1.0529697020805384,1.309206358189866,0.8048915498270879,1.1393578756702676,1.8938739872238919,1.0381920686101946,1.6402652243644864,0.6970119176894543,0.7942412812829749,1.260773706220122,1.1033894476182888
79,1.8547590497743367,1.1630578052241545,1.446084033123822,0.8890430536943968,1.2584778722726828,2.091878729843322,1.1467351684792748,1.8117551417343147,0.7693180993652718,0.8766337812121764,1.391563051912002,1.2178521645875187
80,2.322726109123565,1.4565044073745175,1.8109398846885636,1.113354057068578,1.5759995413084391,2.6196725356420223,1.4360634694846688,2.2688720519019214,0.9628473570255437,1.0971593155235144,1.7416239235412867,1.5242144164922042
81,2.361053474827658,1.4805382255900155,1.8408222522031634,1.1317255421678283,1.602005151927766,2.662899822279105,1.4597599912368595,2.306310770366172,0.978257457156935,1.1147190406335636,1.7694981227662903,1.5486090379329442
82,3.060475631964732,1.9191226331463291,2.3861347088114764,1.466980092066545,2.0765720819240516,3.451738854429503,1.8921891983084214,2.989516327222829,1.2675376236138918,1.4443522136475317,2.2927557864356896,2.006547668497478
83,2.5323318495355043,1.5879412063676557,1.9743613892218232,1.2138245346491447,1.7182197322501418,2.8560750969742577,1.565655652401772,2.473617934109404,1.0484461712255364,1.1946986977651763,1.8964573366982989,1.6597197441916243
84,3.9634461439523108,2.485345454370563,3.0901459602598784,1.8998016283577965,2.689249188844954,4.470148662394784,2.450465510437415,3.8715508255189843,1.6404975613342818,1.8693380299363125,2.967375647327167,2.596953727879092
85,3.3125837499661874,2.077211261659903,2.5826936764612944,1.5878232663410858,2.2476306827507972,3.7360774641978387,2.048059172473834,3.235779139159328,1.3707730646500422,1.5619884360440859,2.4794907995756024,2.169972271963526
86,3.489122956102732,2.187913135118974,2.720334480664661,1.67244393711744,2.3674148048654504,3.9351861356694218,2.1572074288561494,3.4082251582120424,1.4435321973880677,1.6448970712399542,2.611099455203142,2.285152023189479
87,3.5586050458456198,2.231483046158676,2.7745069838679695,1.7057488395788138,2.414559296475467,4.013551088602739,2.2001658691437416,3.476096256274854,1.4720222730780015,1.6773613572091695,2.662633062314424,2.330252613409408
88,4.0276403350880035,2.525599499800077,3.1401956930442623,1.9305718783930563,2.7328057732339297,4.542549690998791,2.4901546207810656,3.934256628665607,1.6657908318840362,1.898159573871841,3.0131267882246604,2.636993685750784
89,3.6882245831483753,2.3127631534523188,2.8755663334892683,1.7678794701187306,2.5025078197780424,4.159741696535751,2.2803052715988286,3.6027104723942265,1.5252144826007703,1.7379735900468574,2.7588485464977777,2.4144573754706986
90,5.019719492518203,3.147699393362954,3.913681515544654,2.406105928886365,3.4059442422554116,5.661460143546047,3.103523812794936,4.903333725068128,2.0756031460518924,2.365138472265997,3.7544062083826595,3.2857380923827364
91,3.8874592971814574,2.4376966262157875,3.0309019491005174,1.8633787958060495,2.637691135923456,4.3844473587525945,2.403485397551817,3.797325787847369,1.607269124368083,1.8314744071182838,2.9072711662378765,2.5443521786388845
92,3.7170461886870685,2.3308362251458887,2.898037426747214,1.781694552031183,2.5220636498564724,4.192247969301296,2.2981247013987685,3.6308638285048858,1.5366815750565437,1.751040279401115,2.7795905285042823,2.4326101049857205
93,3.3434282857457815,2.096552845727837,2.606741970338288,1.6026080009310646,2.2685590970177953,3.77086528654979,2.067129312036265,3.265908522434145,1.382120010057528,1.5749182184916577,2.5000154564037045,2.187934805325687
94,3.4894764759429373,2.1881348156706886,2.7206101064373867,1.6726133900489761,2.3676546726242096,3.9355848508741773,2.1574259982889648,3.408570481443259,1.442400233462053,1.6436072045158034,2.609051928728932,2.2833600924931003
95,3.218795454411172,2.0183997361427735,2.5095705628619793,1.5428676519225073,2.18399411785655,3.6302989046573613,1.9900730222416791,3.144165391957518,1.3304360928186332,1.516024676490799,2.4065282114434434,2.106117712323869
96,4.219227366425481,2.6457373647178346,3.2895687056759715,2.0224054345680424,2.862800038301386,4.758629960733804,2.6086064416178245,4.121401578386984,1.743859934582604,1.9871188908968174,3.15434025883049,2.7605792686030526
97,4.216639117680598,2.644114359883345,3.2875507480419692,2.021164807345789,2.8610438782364067,4.75571082010601,2.6070062144288046,4.118873340030525,1.7427130763944048,1.9858120522420857,3.1522657912184613,2.7587637598711954
98,4.126605409245913,2.5876572112628944,3.2173549410846376,1.97800888200231,2.79995484899701,4.654166848846592,2.5513413991940586,4.030927127175658,1.7054360479828807,1.9433350815381476,3.084838110178136,2.6997531766315435
99,4.805785975314317,3.013548789265182,3.7468858105088967,2.3035610147932553,3.260787599093964,5.420176525442752,2.9712559109755534,4.694360408652389,1.9860571868812305,2.263101339843382,3.5924330943577547,3.143984323303299
100,5.698776368809504,3.573513409613648,4.443115948824418,2.7315987733631975,3.8666930672476307,6.427330317378302,3.5233618513453653,5.566646184603232,2.3550244693853877,2.6835375472744354,4.259830934238006,3.7280698973075994
101,6.461255975903487,4.051639049956418,5.037591865000852,3.0970786982909195,4.384045288121653,7.287288311497946,3.994777359903907,6.311447159580632,2.670046389175652,3.0425033079114248,4.829650966399212,4.226758446589906
102,8.050774025115482,5.048373032144352,6.276877728901748,3.858983583211538,5.462553729827176,9.080016589736124,4.97752293442246,7.864111102042434,3.326817154787083,3.790890015727849,6.017635405807141,5.266445019930115
103,6.845903071378477,4.292838469742733,5.337486357075989,3.281451880563502,4.645033289958404,7.721110202065372,4.232591728238298,6.687175938510042,2.828867216684001,3.223478775236009,5.11693030587797,4.478176278462321
104,6.173613792891485,3.8712681893292515,4.813328358559331,2.9592029538445312,4.1888763671252285,6.962872822315286,3.8169378679018897,6.030474165209702,2.551014755633929,2.906867410248762,4.614343379872843,4.038328026607877
105,9.26750032271559,5.811341686977153,7.225512254693898,4.442197916771623,6.288118172997463,10.452293954982219,5.729783901172497,9.0526267348566,3.829379349413269,4.363556897389585,6.926683278080792,6.062015093051139
106,6.567024790982392,4.1179631614046395,5.120055727197206,3.1477769441654058,4.455810789613342,7.406579027222564,4.060170662604934,6.4147636494382585,2.7134863322954788,3.0920028863357385,4.908226291576905,4.295525096954284
107,7.576842186901574,4.751186115252919,5.907371369510462,3.6318134778871,5.140984881609244,8.54549544432058,4.684506811164811,7.401167710651454,3.130697784932943,3.567413062688488,5.662889470311209,4.955982547655691
108,7.068116976615063,4.4321814301915285,5.510737961018729,3.387965839295192,4.795808282907254,7.9717328055223495,4.3699791156139876,6.9042376562712935,2.920460309446008,3.3278486052284686,5.282606329623046,4.623170717529215
109,9.326810374016484,5.848533050514182,7.2717540121881745,4.47062704837755,6.328360805685853,10.519186436136229,5.7664533120479,9.110561640425063,3.8536818205441565,4.391249430787469,6.9706422346213985,6.100486587607156
110,8.347514635367837,5.234449214343313,6.508234927842255,4.00122048364666,5.6638960507355,9.414693684824648,5.160987678122607,8.15397157014555,3.4490179563380425,3.9301371630641206,6.238675467769347,5.459892321905661
111,5.728420953115132,3.5921025439615737,4.466228686858059,2.7458083343084767,3.886807299005062,6.460764781747965,3.5416901012505737,5.59560343813265,2.3668422389697032,2.697003831305371,4.2812072303671505,3.7467777585690585
