Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,1.7913976034274133,0.06642705780211006,0,0.18127702914797764,-0.0833331966577352,7703.544434618768,6.919478893280029
feeder2,1.5388887234825042,-0.07277776950745854,0,0.18447777777777782,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder3,2.2450708489502955,0.10808687578084811,0,0.23367777777777782,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder4,2.298491283696723,-0.11075789751816947,0,0.2304777777777778,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder5,2.183474882617327,0.03161298211443325,0,0.2284686805978673,-0.0833312967178621,7703.544434618768,6.919478893280029
feeder6,3.5459980582835886,0.17730458479466393,0,0.24305056777535075,9363760968938983e-20,7703.544434618768,6.919478893280029
feeder7,2.115972295206583,-0.10163194809366248,0,0.20947777777777782,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder8,2.5217691977301415,-0.12609314176700434,0,0.2430505677753721,9363760994551829e-20,7703.544434618768,6.919478893280029
feeder9,2.4656220987607473,0.05357775335737355,0,0.2257770256453003,-0.08333319591109312,7703.544434618768,6.919478893280029
feeder10,1.3901917573321123,0.06534292119993895,0,0.1566777777777778,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder11,1.7329037319576943,-0.08247851993121806,0,0.20847777777777782,-0.08333333333333337,7703.544434618768,6.919478893280029
feeder12,0.9900065727926063,-0.04533366197296365,0,0.1482777777777778,-0.08333333333333337,7703.544434618768,6.919478893280029
