Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,2.8943329059641205,0.07421821517362254,0,0.091,-0.08333290596412068,10644.508247771118,2.060307025909424
feeder2,1.9253333333333336,0.09210000000000002,0,0.0942,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder3,2.2643333333333335,-0.10905000000000001,0,0.1434,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder4,1.4083333333333332,-0.06625,0,0.1402,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder5,1.9513329103645773,0.05660809321083307,0,0.1382,-0.08333291036457735,10644.508247771118,2.060307025909424
feeder6,3.1013333333333333,0.1509,0,0.2144,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder7,1.8093333333333335,-0.0863,0,0.1192,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder8,2.7673333333333336,-0.1342,0,0.1813,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder9,1.2803328995817793,0.04206969225470223,0,0.1355,-0.08333289958177936,10644.508247771118,2.060307025909424
feeder10,1.3013333333333335,-0.0609,0,0.0664,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder11,2.2073333333333336,0.10620000000000002,0,0.1182,-0.08333333333333337,10644.508247771118,2.060307025909424
feeder12,1.9833333333333332,-0.095,0,0.058,-0.08333333333333329,10644.508247771118,2.060307025909424
