Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,1.7908714519113813,0.05973909056176861,0,0.14655469774309596,-0.08333206196363652,8011.934595748235,3.344866991043091
feeder2,1.625877195797265,-0.07712719312319659,0,0.1497555555555556,-0.08333333333333337,8011.934595748235,3.344866991043091
feeder3,2.389496782537947,0.11530817246023069,0,0.19895555555555558,-0.08333333333333337,8011.934595748235,3.344866991043091
feeder4,2.3085055863711994,-0.1112586126518933,0,0.19575555555555557,-0.08333333333333337,8011.934595748235,3.344866991043091
feeder5,2.306488687280906,0.047353169063161116,0,0.1937543252886013,-0.08331039707100296,8011.934595748235,3.344866991043091
feeder6,3.554935767342772,0.17779822499311415,0,0.24301213718266917,0.0010287325195108554,8011.934595748235,3.344866991043091
feeder7,2.157722607039774,-0.10371946368532203,0,0.17475555555555558,-0.08333333333333337,8011.934595748235,3.344866991043091
feeder8,3.009586554350651,-0.14684040244508823,0,0.23685555555555557,-0.07277850544888631,8011.934595748235,3.344866991043091
feeder9,2.422578006861775,0.07011331421674971,0,0.1910546939989223,-0.08333205583980274,8011.934595748235,3.344866991043091
feeder10,1.4497333263405334,0.06831999965036001,0,0.12195555555555558,-0.0833333333333332,8011.934595748235,3.344866991043091
feeder11,2.044768742675941,-0.09807177046713039,0,0.17375555555555558,-0.08333333333333337,8011.934595748235,3.344866991043091
feeder12,1.100584545838561,-0.05086256062526138,0,0.11355555555555558,-0.08333333333333337,8011.934595748235,3.344866991043091
