time,Qd_MVAR
0008/03/16 16:35,1.814108
0008/03/16 16:40,1.817134
0008/03/16 16:45,1.820128
0008/03/16 16:50,1.82254
0008/03/16 16:55,1.824639
0008/03/16 17:00,1.826149
0008/03/16 17:05,1.826744
0008/03/16 17:10,1.822495
0008/03/16 17:15,1.813709
0008/03/16 17:20,1.805856
0008/03/16 17:25,1.797132
0008/03/16 17:30,1.787227
0008/03/16 17:35,1.776477
0008/03/16 17:40,1.766364
0008/03/16 17:45,1.747325
0008/03/16 17:50,1.727238
0008/03/16 17:55,1.712032
0008/03/16 18:00,1.689849
0008/03/16 18:05,1.6664
0008/03/16 18:10,1.64225
0008/03/16 18:15,1.617429
0008/03/16 18:20,1.590655
0008/03/16 18:25,1.566718
0008/03/16 18:30,1.541654
0008/03/16 18:35,1.518311
0008/03/16 18:40,1.492401
0008/03/16 18:45,1.469016
0008/03/16 18:50,1.442621
0008/03/16 18:55,1.420048
0008/03/16 19:00,1.400389
0008/03/16 19:05,1.382156
0008/03/16 19:10,1.364227
0008/03/16 19:15,1.349884
0008/03/16 19:20,1.33002
0008/03/16 19:25,1.316244
0008/03/16 19:30,1.308253
0008/03/16 19:35,1.2953
0008/03/16 19:40,1.281359
0008/03/16 19:45,1.275228
0008/03/16 19:50,1.262146
0008/03/16 19:55,1.254047
0008/03/16 20:00,1.245491
0008/03/16 20:05,1.236238
0008/03/16 20:10,1.231198
0008/03/16 20:15,1.221789
0008/03/16 20:20,1.215338
0008/03/16 20:25,1.202135
0008/03/16 20:30,1.194518
0008/03/16 20:35,1.186192
0008/03/16 20:40,1.1722
0008/03/16 20:45,1.162726
0008/03/16 20:50,1.146526
0008/03/16 20:55,1.131987
0008/03/16 21:00,1.115946
0008/03/16 21:05,1.099296
0008/03/16 21:10,1.077849
0008/03/16 21:15,1.060529
0008/03/16 21:20,1.03877
0008/03/16 21:25,1.016777
0008/03/16 21:30,0.995013
0008/03/16 21:35,0.977854
0008/03/16 21:40,0.957451
0008/03/16 21:45,0.939846
0008/03/16 21:50,0.922594
0008/03/16 21:55,0.907745
0008/03/16 22:00,0.896415
0008/03/16 22:05,0.885731
0008/03/16 22:10,0.880166
0008/03/16 22:15,0.873399
0008/03/16 22:20,0.867646
0008/03/16 22:25,0.866134
0008/03/16 22:30,0.868515
0008/03/16 22:35,0.870891
0008/03/16 22:40,0.872139
0008/03/16 22:45,0.882829
0008/03/16 22:50,0.892017
0008/03/16 22:55,0.904705
0008/03/16 23:00,0.916934
0008/03/16 23:05,0.932293
0008/03/16 23:10,0.950381
0008/03/16 23:15,0.96812
0008/03/16 23:20,0.985539
0008/03/16 23:25,0.998932
