feeder_1,feeder_2,feeder_3
1.018415568747797,1.0184440331049198,1.018415568747797
1.0127985391695724,1.0127578578773593,1.0127985391695724
1.0127508789855,1.0127100273006258,1.0127508789855
1.013028682199514,1.0130211872412602,1.013028682199514
1.0128217279665106,1.0128569870173694,1.0128217279665106
1.012807960264972,1.012800147476997,1.012807960264972
1.0130785195272252,1.01310513678384,1.0130785195272252
1.0129382410085663,1.012894288953633,1.0129382410085663
1.0130132046268183,1.0129979156116549,1.0130132046268183
1.013083595515237,1.0130899529464765,1.013083595515237
1.0127053334869471,1.0126786506455108,1.0127053334869471
1.012920192006794,1.0129746644882782,1.012920192006794
1.0130353797620766,1.013045899801089,1.0130353797620766
1.01311062930264,1.0131218051234085,1.01311062930264
1.0131583456276008,1.0131699372593108,1.0131583456276008
1.0132036128842667,1.013215598966944,1.0132036128842667
1.013180979508743,1.0131927683703588,1.013180979508743
1.0132280808296157,1.0132402801143034,1.0132280808296157
1.0132525481841175,1.0132649606604813,1.0132525481841175
1.0132794615916816,1.0132921085669546,1.0132794615916816
1.0134286956984808,1.0134426428499483,1.0134286956984808
1.0133822153004486,1.0133957575202122,1.0133822153004486
1.0134812893674803,1.0134956946861875,1.0134812893674803
1.0135088082228947,1.013523453261257,1.0135088082228947
1.0133736528893327,1.0133871205123477,1.0133736528893327
1.0134207452552153,1.0134346231446925,1.0134207452552153
1.0134280841281347,1.0134420259517958,1.0134280841281347
1.0134158526437458,1.013429687909917,1.0134158526437458
1.0133742644925234,1.0133877374439197,1.0133742644925234
1.0135803537503572,1.0135956219986912,1.0135803537503572
1.013596863539522,1.0136122755930048,1.013596863539522
1.0134984122986708,1.0135129667778098,1.0134984122986708
1.013592583249634,1.0136079580207518,1.013592583249634
1.01351981555585,1.0135345564784164,1.01351981555585
1.013703864912906,1.0137202089228368,1.013703864912906
1.0136304937597134,1.013646198735069,1.0136304937597134
1.0136940823993146,1.0137103412099984,1.0136940823993146
1.013676962773366,1.013693072481397,1.013676962773366
1.0136035896728246,1.0136190603122421,1.0136035896728246
1.0137546101871602,1.0137713961417056,1.0137546101871602
1.013714870127852,1.0137313099849634,1.013714870127852
1.0136873568664555,1.0137035571017001,1.0136873568664555
1.0137069219290402,1.0137232925633974,1.0137069219290402
1.0137680603159114,1.0137849634049603,1.0137680603159114
1.0136855226224781,1.0137017068824674,1.0136855226224781
1.0137411598799553,1.013757828696879,1.0137411598799553
1.0137662262179516,1.0137831133342972,1.0137662262179516
1.0138151343613153,1.0138324473965672,1.0138151343613153
1.0138230817117628,1.0138404639549428,1.0138230817117628
1.0137595011637155,1.0137763297129867,1.0137595011637155
1.0137484964332817,1.0137652291438402,1.0137484964332817
1.0137448281632546,1.013761528927112,1.0137448281632546
1.0137533874393354,1.0137701627451352,1.0137533874393354
1.0136745170889128,1.0136906054961525,1.0136745170889128
1.0137105903362378,1.013726992919694,1.0137105903362378
1.0137613352738426,1.0137781797960297,1.0137613352738426
