GML,Real
-0.020847775899236254,-0.020847775899592164
-0.039861016231427904,-0.0398610162318068
-0.03942707607375873,-0.03942707607413582
-0.02534308553219562,-0.025343085532561906
-0.053391096334125976,-0.05339109633486147
-0.07277747790961264,-0.07277747791103908
-0.062133852148217095,-0.062133852148309944
-0.060154647189845534,-0.060154647190126136
-0.060642348008134395,-0.060642348008327046
-0.05696981134846757,-0.056969811348832
-0.043105838474607694,-0.043105838474872066
-0.046096746161228275,-0.04609674616147689
-0.05984240553368414,-0.059842405533818206
-0.054205644467148595,-0.05420564446749797
-0.04974333786715057,-0.04974333786823177
-0.04810585804528242,-0.04810585804638875
-0.05334042361275948,-0.0533404236133943
-0.045218718159785176,-0.045218718160077276
-0.048419474781268956,-0.0484194747814982
-0.06584362575344249,-0.06584362575371776
-0.1051980291306367,-0.10519802913090222
-0.08180488279696796,-0.08180488279762416
-0.07659145460418193,-0.07659145460469724
-0.07365603412978317,-0.07365603412911009
-0.07025974358937237,-0.0702597435896345
-0.07322073335467216,-0.0732207333558369
-0.0790617119956214,-0.0790617119962458
-0.06987170507239959,-0.06987170507283864
-0.07303432942498533,-0.07303432942558144
-0.07546526477144155,-0.07546526477196241
-0.06474097376649368,-0.06474097376675653
-0.06586909584033501,-0.06586909584149783
-0.07708633096737616,-0.07708633096803257
-0.08411652526989277,-0.08411652526851024
-0.10241006249908535,-0.10241006249935168
-0.08771350036776493,-0.08771350036591406
-0.0793974658332699,-0.0793974658337706
-0.06412106857528332,-0.0641210685764462
-0.0699452403702856,-0.0699452403712563
-0.0636572874571919,-0.06365728745835739
-0.0732779248470754,-0.07327792484756206
-0.1078936552225973,-0.10789365522286261
-0.06926789863018623,-0.06926789863073055
-0.06634942381462494,-0.06634942381532813
-0.06573335719638361,-0.06573335719754617
-0.05817907485709073,-0.0581790748573616
-0.09012785005655033,-0.09012785005681846
-0.07394781345664425,-0.07394781345728493
-0.08419384613375414,-0.08419384613425539
-0.0870929801468221,-0.08709298014556585
-0.07246012657327627,-0.07246012657460421
0.0487289692179842,0.04872896921762057
0.049228208574519705,0.0492282085741595
-0.07327974128860548,-0.0732797412901054
-0.08771360820066443,-0.08771360819881285
-0.07038899361328932,-0.07038899361355161
-0.07327974128860504,-0.0732797412901054
-0.0636572874571919,-0.06365728745835739
-0.05421775730237277,-0.054217757302556124
-0.06469318826234449,-0.06469318826262019
-0.0715204478234015,-0.07152044782349244
-0.06814834248563573,-0.06814834248657477
-0.05573351593868203,-0.05573351593920388
-0.0311724925607626,-0.031172492561142236
-0.0195398635006927,-0.019539863501049085
-0.019756936881052845,-0.019756936881412692
-0.02605266547366636,-0.02605266547403005
-0.03541949716571846,-0.03541949716609566
-0.03473802341174714,-0.03473802341214743
0.0,0.0
-0.07980457364134752,-0.07980457364030262
-0.06412106857528332,-0.0641210685764462
-0.11915664597788256,-0.1191566459790482
-0.0790617119956214,-0.0790617119962458
-0.0790617119956214,-0.0790617119962458
-0.04974333786715057,-0.04974333786823177
-0.0732797412886046,-0.0732797412901054
-0.0636572874571919,-0.06365728745835739
-0.0270547317981662,-0.02705473179852639
