feeder_1,feeder_2,feeder_3
1.0401622991458308,1.0403055145458466,1.0401622991458308
1.04019156047872,1.04032297032558,1.04019156047872
1.0401030530218551,1.0402994954093896,1.0401030530218551
1.0401349508300732,1.040299977919228,1.0401349508300732
1.0401510372335037,1.0402326835688724,1.0401510372335037
1.040088882819596,1.0402223143917446,1.040088882819596
1.0400742651850898,1.040294533802269,1.0400742651850898
1.039988210061866,1.0403655448720561,1.039988210061866
1.040103021426126,1.0402639417694586,1.040103021426126
1.0400322472272212,1.040243241536038,1.0400322472272212
1.0400608943416265,1.0401570191163219,1.0400608943416265
1.0400745198593468,1.040168792077708,1.0400745198593468
