time,solar_MW
0008/03/16 15:35,4.031516
0008/03/16 15:40,3.924625
0008/03/16 15:45,3.771898
0008/03/16 15:50,3.695575
0008/03/16 15:55,3.558117
0008/03/16 16:00,3.435932
0008/03/16 16:05,3.329048
0008/03/16 16:10,3.191629
0008/03/16 16:15,3.054197
0008/03/16 16:20,2.916741
0008/03/16 16:25,2.794577
0008/03/16 16:30,2.290616
0008/03/16 16:35,1.343832
0008/03/16 16:40,2.305907
0008/03/16 16:45,2.290613
0008/03/16 16:50,2.199014
0008/03/16 16:55,2.076846
0008/03/16 17:00,1.61872
0008/03/16 17:05,1.404917
0008/03/16 17:10,0.641363
0008/03/16 17:15,1.496543
0008/03/16 17:20,1.374376
0008/03/16 17:25,1.298028
0008/03/16 17:30,0.900989
0008/03/16 17:35,0.946817
0008/03/16 17:40,0.900988
0008/03/16 17:45,0.763538
0008/03/16 17:50,0.671897
0008/03/16 17:55,0.565018
0008/03/16 18:00,0.397049
0008/03/16 18:05,0.320684
0008/03/16 18:10,0.274883
0008/03/16 18:15,0.198503
0008/03/16 18:20,0.137451
0008/03/16 18:25,0.061079
0008/03/16 18:30,0
0008/03/16 18:35,0
0008/03/16 18:40,0
0008/03/16 18:45,0
0008/03/16 18:50,0
0008/03/16 18:55,0
0008/03/16 19:00,0
0008/03/16 19:05,0
0008/03/16 19:10,0
0008/03/16 19:15,0
0008/03/16 19:20,0
0008/03/16 19:25,0
0008/03/16 19:30,0
0008/03/16 19:35,0
0008/03/16 19:40,0
0008/03/16 19:45,0
0008/03/16 19:50,0
0008/03/16 19:55,0
0008/03/16 20:00,0
0008/03/16 20:05,0
0008/03/16 20:10,0
0008/03/16 20:15,0
0008/03/16 20:20,0
0008/03/16 20:25,0
0008/03/16 20:30,0
0008/03/16 20:35,0
0008/03/16 20:40,0
0008/03/16 20:45,0
0008/03/16 20:50,0
0008/03/16 20:55,0
0008/03/16 21:00,0
0008/03/16 21:05,0
0008/03/16 21:10,0
0008/03/16 21:15,0
0008/03/16 21:20,0
0008/03/16 21:25,0
0008/03/16 21:30,0
0008/03/16 21:35,0
0008/03/16 21:40,0
0008/03/16 21:45,0
0008/03/16 21:50,0
0008/03/16 21:55,0
0008/03/16 22:00,0
0008/03/16 22:05,0
0008/03/16 22:10,0
0008/03/16 22:15,0
0008/03/16 22:20,0
0008/03/16 22:25,0
0008/03/16 22:30,0
0008/03/16 22:35,0
0008/03/16 22:40,0
0008/03/16 22:45,0
0008/03/16 22:50,0
0008/03/16 22:55,0
0008/03/16 23:00,0
0008/03/16 23:05,0
0008/03/16 23:10,0
0008/03/16 23:15,0
0008/03/16 23:20,0
0008/03/16 23:25,0
0008/03/16 23:30,0
0008/03/16 23:35,0
0008/03/16 23:40,0
0008/03/16 23:45,0
0008/03/16 23:50,0
0008/03/16 23:55,0
0008/04/16 00:00,0
0008/04/16 00:05,0
0008/04/16 00:10,0
0008/04/16 00:15,0
0008/04/16 00:20,0
0008/04/16 00:25,0
0008/04/16 00:30,0
0008/04/16 00:35,0
0008/04/16 00:40,0
0008/04/16 00:45,0
0008/04/16 00:50,0
