Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,2.7823332852191327,0.06641210691807081,0,0.15349994772811162,-0.08333328521913275,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder2,1.888333285044047,0.09025,0,0.15669994759169784,-0.08333328504404713,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder3,2.158333281951078,-0.10375000000000001,0,0.20589994089785102,-0.08333328195107759,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder4,1.3453332821616608,-0.0631,0,0.20269994112401435,-0.0833332821616608,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder5,1.8443332822581007,0.049339812383750736,0,0.20069994144361972,-0.08333328225810066,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder6,2.941999956681597,0.1471,0,0.24999998704507326,4331840286475597e-23,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder7,1.7223332833115865,-0.08195000000000001,0,0.18169994375706292,-0.08333328331158663,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder8,2.6494007804365114,-0.12875,0,0.2437999182865352,-0.07440078043651122,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder9,1.191333282429045,0.03950641979020698,0,0.19799994148989836,-0.08333328242904492,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder10,1.251333304120213,-0.0584,0,0.12889995169786467,-0.08333330412021311,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder11,2.107333283313943,0.10120000000000001,0,0.18069994380363258,-0.08333328331394307,0.29847941140365253,13707.103069985109,0.45397186279296875
feeder12,1.8883333045888346,-0.09025,0,0.12049995266560103,-0.08333330458883476,0.29847941140365253,13707.103069985109,0.45397186279296875
