feeder_1,feeder_2,feeder_3
1.0393900620600867,1.0394439110182014,1.0393900620600867
1.039309799650952,1.0394331393212324,1.039309799650952
1.0392793313238726,1.0394950863967896,1.0392793313238726
1.039293143334397,1.039396848786774,1.039293143334397
1.0391868246928477,1.0394509571991506,1.0391868246928477
1.039230185071485,1.0393784243209765,1.039230185071485
1.039257556612186,1.0394045273952501,1.039257556612186
1.039161397904818,1.0393656255972603,1.039161397904818
1.0392037977198956,1.0393282762655462,1.0392037977198956
1.0391688313459881,1.0393695991542742,1.0391688313459881
1.039099239304703,1.0393456775156835,1.039099239304703
1.0391952597153136,1.0393188440256913,1.0391952597153136
